Column1,Column2
"Manuel, Simone",52.73632098
"Weitzeil, Abbey",53.12363844
"Deloof, Catie",53.32725876
"Huske, Torri",53.36176729
"McLaughlin, Katie",53.379
"Curzan, Claire",53.4465
"Walsh, Gretchen",53.67974642
"Brown, Erika",53.73637819
"Comerford, Mallory",53.82942115
"Kendall, Amanda",54.109
"Tetzloff, Aly",54.227
"Mack, Linnea",54.25063217
"Geer, Margo",54.25220363
"Hinds, Natalie",54.36528553
"Tang, Amy",54.4775
"Smoliga, Olivia",54.49393606
"Ledecky, Katie",54.6296351
"Ivey, Isabel",54.63705124
"Schmitt, Allison",54.72368424
"DeLoof, Gabby",54.73136832
"Fisch, Claire",54.77
"Alons, Kylee",54.80185071
"Walsh, Alex",54.85423149
"Pelaez, Erika",54.99775
"Dahlia (Worrell), Kelsi",55.10753926
"Garofalo, Isabella",55.135
"Nelson, Beata",55.14771881
"Parker, Maxine",55.16028857
"Douglass, Kate",55.18688181
"Perry, Ky-lee",55.251
"Brenner, Mandy",55.255
"Freriks, Geena",55.28
"Diener, Anelise",55.297
"Stewart, Kendyl",55.306
"Smith, Regan",55.32838388
"Liu, Kenisha",55.43171805
"Pitzer, Lauren",55.456
"Gemmell, Erin",55.49820058
"Cook, Julia",55.5446971
"Pish, Melissa",55.545
"Spink, Camille",55.56167822
"Dupre, Cora",55.56385226
"Konopka, Katrina",55.6025
"Cronk, Micayla",55.61516273
"Pash, Kelly",55.61870616
"Flynn, Lindsay",55.62201561
"Porter, Samantha",55.63971949
"Liu, Amelia",55.64619736
"Spitz, Ayla",55.65642538
"Adams, Claire",55.674
"Dahlke, Miki",55.67681937
"Pearson, Samantha",55.68448215
"Fanz, Casey",55.69491219
"Drabot, Katie",55.74907659
"Dolan, Abbie",55.76427569
"Margalis, Melanie",55.77789248
"Rudolph, Janelle",55.79669419
"Stepanek, Chloe",55.82214802
"Rasmus, Claire",55.84989398
"Spadoni, Marina",55.86821322
"Felner, Gracie",55.8788896
"Novelline, Carly",55.9107493
"Albiero, Gabi",55.91140602
"Tiltmann, Reilly",55.93293861
"Hartman, Zoie",55.935
"Burchill, Veronica",55.95272473
"Neal, Lia",55.964
"Regenauer, Christiana",55.97446728
"Fackenthal, Amalie",55.98674094
"Hayes, Leah",55.99148936
"Eldridge, Raena",56.005
"Bilquist, Amy",56.01642652
"Nordmann, Lucie",56.027
"Gibson, Sarah",56.042
"Deloof, Ali",56.06904354
"Rothrock, Trude",56.07811992
"Gingrich, Leah",56.08730907
"Cooper, Grace",56.10643202
"Marsh, Alyssa",56.1442607
"Claesson, Emily",56.17409091
"Clark, Megan",56.19391972
"Nordmann, Lillie",56.27318541
"Hosack, Lillie",56.27623295
"Wheal, Emma",56.28730615
"Paegle, Kristina",56.29011033
"Schaedler, Quinn",56.29456582
"Ulett, Tristen",56.29479288
"Skirboll, Zoe",56.31071593
"Leehy, Mykenzie",56.33103774
"Gaines, Riley",56.36019898
"Ristic, Ella",56.36372816
"Scott, Morgan",56.36933996
"Heckman, Miranda",56.39307955
"Francis, Riley",56.40021973
"Tuggle, Claire",56.42103035
"Bates, Talia",56.43861178
"Goeders, Anya",56.4624222
"Lindner, Sophie",56.48144467
"Looney, Lindsay",56.51998157
"Stout, Jordan",56.52575552
"Welch, Ella",56.53464261
"Sims, Bella",56.5509581
"Shackelford, Sarah",56.62484653
"Fulmer, Amy",56.70071429
"Tankersley, Morgan",56.73375126
"Kozan, Justina",56.78142477
"Semenuk, Bridget",56.85908716
"Weir, Amanda",56.88636048
"Garcia, Elise",56.93745515
"Shanks, Cory",56.99551165
"Riley, Eloise",57.06021429
"Madden, Paige",57.21024419
"Hamilton, Rebekah",57.27063743
"Gersper, Aspen",57.34420466
"Helms, Katherine",57.41929886
"Wilson, Kayla",57.67428642
"Baker, Kathleen",57.84434276
"Kruger, Lainy",57.85660293
"Venema, Nikki",57.91